Index,Customer Reference,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Manufacturer Part Number,Manufacturer Name,Description
1,"100nF - C10, C11, C12, C13, C14, C15",,6,6,Cut Tape (CT),399-C1210C104K5RAC7210CT-ND,0.30000,Fr. 1.80,1,C1210C104K5RAC7210,KEMET,CAP CER 0.1UF 50V X7R 1210
2,15nF - C4,,1,1,Cut Tape (CT),399-15598-1-ND,0.53000,Fr. 0.53,1,C1210C153K1RAC7800,KEMET,CAP CER 0.015UF 100V X7R 1210
3,1nF - C5,,1,1,Cut Tape (CT),478-1602-1-ND,0.33000,Fr. 0.33,1,12101C102KAT2A,KYOCERA AVX,CAP CER 1000PF 100V X7R 1210
4,"4.3k - R2, R3, R4",,3,3,Cut Tape (CT),541-4.3KWCT-ND,0.31000,Fr. 0.93,1,CRCW20104K30JNEF,Vishay Dale,RES SMD 4.3K OHM 5% 3/4W 2010
5,"1k - R5, R6",,2,2,Cut Tape (CT),RMCF2010FT1K00CT-ND,0.29000,Fr. 0.58,1,RMCF2010FT1K00,Stackpole Electronics Inc,RES 1K OHM 1% 3/4W 2010
6,100 - R1,,1,1,Cut Tape (CT),RMCF2010JT100RCT-ND,0.21000,Fr. 0.21,1,RMCF2010JT100R,Stackpole Electronics Inc,RES 100 OHM 5% 3/4W 2010
7,360 - R7,,1,1,Cut Tape (CT),RMCF2010JT360RCT-ND,0.21000,Fr. 0.21,1,RMCF2010JT360R,Stackpole Electronics Inc,RES 360 OHM 5% 3/4W 2010
8,"U1, U2, U3",,3,3,Cut Tape (CT),ADA4627-1ARZ-R7CT-ND,9.35000,Fr. 28.05,1,ADA4627-1ARZ-R7,Analog Devices Inc.,IC OPAMP JFET 1 CIRCUIT 8SOIC
9,"J10, J11",,1,1,Bulk,BKCT3151SP-2-ND,2.18000,Fr. 2.18,1,CT3151SP-2,Cal Test Electronics,CONN BANANA JACK SOLDER RED
10,"J20, J21",,1,1,Bulk,BKCT3151SP-9-ND,2.18000,Fr. 2.18,1,CT3151SP-9,Cal Test Electronics,CONN BANANA JACK SOLDER WHITE
11,"J30, J31",,1,1,Bulk,BKCT3151SP-0-ND,2.18000,Fr. 2.18,1,CT3151SP-0,Cal Test Electronics,CONN BANANA JACK SOLDER BLACK
12,J1-J4,,4,4,Bulk,SAM1125-02-ND,0.40000,Fr. 1.60,1,SSA-102-W-T,Samtec Inc.,CONN RCPT 2POS 0.1 TIN PCB
13,J5,,1,1,Bulk,732-691411510002-ND,1.02000,Fr. 1.02,1,691411510002,Würth Elektronik,"5.08 MM TERMINAL BLOCK, HORIZONT"
14,RV2,,1,1,Tube,3006P-7-502LF-ND,2.04000,Fr. 2.04,1,3006P-7-502LF,Bourns Inc.,TRIMMER 5K OHM 0.75W PC PIN
15,RV1,,1,1,Tube,3006P-7-103LF-ND,2.04000,Fr. 2.04,1,3006P-7-103LF,Bourns Inc.,TRIMMER 10K OHM 0.75W PC PIN
